pizza_id,order_id,Total orders,pizza_name_id,quantity,order_date,Days,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1,1,1,hawaiian_m,1,01-01-2015,Thu,11:38:36,13.25,13.25,Medium,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2,2,0.2,classic_dlx_m,1,01-01-2015,Thu,11:57:40,16,16,Medium,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3,2,0.2,five_cheese_l,1,01-01-2015,Thu,11:57:40,18.5,18.5,Large,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
4,2,0.2,ital_supr_l,1,01-01-2015,Thu,11:57:40,20.75,20.75,Large,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
5,2,0.2,mexicana_m,1,01-01-2015,Thu,11:57:40,16,16,Medium,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza
6,2,0.2,thai_ckn_l,1,01-01-2015,Thu,11:57:40,20.75,20.75,Large,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza
7,3,0.5,ital_supr_m,1,01-01-2015,Thu,12:12:28,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
8,3,0.5,prsc_argla_l,1,01-01-2015,Thu,12:12:28,20.75,20.75,Large,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza
9,4,1,ital_supr_m,1,01-01-2015,Thu,12:16:31,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
10,5,1,ital_supr_m,1,01-01-2015,Thu,12:21:30,16.5,16.5,Medium,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza
